Año,Mes,Total
2003,Enero,35852
2003,Febrero,24922
2003,Marzo,25412
2003,Abril,29350
2003,Mayo,27127
2003,Junio,27682
2003,Julio,38027
2003,Agosto,29262
2003,Setiembre,29247
2003,Octubre,30646
2003,Noviembre,30403
2003,Diciembre,44936
2004,Enero,28131
2004,Febrero,25696
2004,Marzo,30010
2004,Abril,35149
2004,Mayo,31075
2004,Junio,34632
2004,Julio,44490
2004,Agosto,32807
2004,Setiembre,34183
2004,Octubre,34763
2004,Noviembre,36047
2004,Diciembre,57652
2005,Enero,47601
2005,Febrero,30329
2005,Marzo,44098
2005,Abril,37073
2005,Mayo,38329
2005,Junio,37772
2005,Julio,50924
2005,Agosto,38768
2005,Setiembre,43407
2005,Octubre,35876
2005,Noviembre,36726
2005,Diciembre,46200
2006,Enero,48927
2006,Febrero,30200
2006,Marzo,35461
2006,Abril,43638
2006,Mayo,37658
2006,Junio,36916
2006,Julio,43554
2006,Agosto,34171
2006,Setiembre,37434
2006,Octubre,38276
2006,Noviembre,38441
2006,Diciembre,59909
2007,Enero,46799
2007,Febrero,32800
2007,Marzo,44515
2007,Abril,45939
2007,Mayo,41382
2007,Junio,46117
2007,Julio,54007
2007,Agosto,42747
2007,Setiembre,48006
2007,Octubre,48806
2007,Noviembre,51800
2007,Diciembre,73798
2008,Enero,38118
2008,Febrero,38621
2008,Marzo,45571
2008,Abril,42848
2008,Mayo,45704
2008,Junio,42595
2008,Julio,51861
2008,Agosto,34275
2008,Setiembre,44624
2008,Octubre,42989
2008,Noviembre,42881
2008,Diciembre,58319
2009,Enero,54590
2009,Febrero,34315
2009,Marzo,41063
2009,Abril,49878
2009,Mayo,37017
2009,Junio,40221
2009,Julio,57566
2009,Agosto,43566
2009,Setiembre,47924
2009,Octubre,47886
2009,Noviembre,46183
2009,Diciembre,79107
2010,Enero,62172
2010,Febrero,40207
2010,Marzo,56910
2010,Abril,44163
2010,Mayo,47673
2010,Junio,47514
2010,Julio,69775
2010,Agosto,47380
2010,Setiembre,51944
2010,Octubre,53569
2010,Noviembre,53790
2010,Diciembre,87144
2011,Enero,70503
2011,Febrero,43731
2011,Marzo,47132
2011,Abril,65195
2011,Mayo,48448
2011,Junio,49505
2011,Julio,72478
2011,Agosto,50324
2011,Setiembre,57492
2011,Octubre,56452
2011,Noviembre,57929
2011,Diciembre,98173
2012,Enero,78277
2012,Febrero,46662
2012,Marzo,58819
2012,Abril,61407
2012,Mayo,54407
2012,Junio,56407
2012,Julio,74316
2012,Agosto,52451
2012,Setiembre,60135
2012,Octubre,60976
2012,Noviembre,61596
2012,Diciembre,108245
